date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2022-09-01,291392775.97773,16396148.69747,22016349.39,7053756.56261,113337122.29848,17897617.68058,5299595.02251,34502462.47129,14794507.37994,29401717.9273,25700348.51321
2022-10-01,296011313.13106,18364861.91056,24440068.00333,7281735.03661,121116109.55926,20607771.42217,6783136.8579,39676139.40316,11038203.79984,31649638.648520004,26528023.120180003
2022-11-01,318663949.29852,21347853.53936,26152424.82168,9376599.867,122522353.75417,24914107.02447,8242695.87686,40773397.69713999,7785722.95442,35892855.25928,26990347.59434
2022-12-01,310892240.8326,23507174.91993,32848987.42658,6759490.75526,134053693.30564,27508030.76354,12274592.65045,41688531.84277,6529567.91163,37131822.44222,28857620.32361
2023-01-01,339760033.70115,25440456.66546,37611211.78442,7343012.77436,141547279.97476,31038211.43424,18906520.62417,43305370.22167,11657036.23213,41911880.26955,34349384.02409
2023-02-01,308255563.25671,24019918.08092,31930819.92148,9109488.94422,134013357.59368998,28952397.16418,13620880.32635,46886801.9723,11034508.45824,36938950.13122,29907751.4345
2023-03-01,304969085.99603,25150478.13402,28517567.92232,10183143.89343,146401869.53383002,28773598.195970003,13229533.16208,40597611.60277,14084395.88073,34610583.408420004,28779668.46922
2023-04-01,309182880.19373,26054173.71449,29471121.39924,12904510.9571,131032200.29966,32024984.21819,13790712.145,34656972.32848,13805114.45574,32521569.762300003,30015571.216070004
2023-05-01,322591759.15314,29054384.60865,35474800.4388,15498354.236220002,135590266.07936,36075804.56951,17423232.354650002,46226900.01491,15165035.1949,38831563.04734,30329729.95865
2023-06-01,304697915.20234,32283226.26022,41196301.68895999,15757462.45671,134237843.05206,34032394.79272,17156901.81716,51029185.61134,15314979.82427,39779685.86478,26723172.781850003
2023-07-01,318015853.97934,38211421.65465,49023206.11896,18793262.36731,137529099.32449,32953024.792850003,21939040.92736,53314359.972260006,14373760.84002,44458349.9424,30523541.58511
2023-08-01,322209427.73018,38875630.85520001,53952742.18592,12386317.65615,147434591.90490997,37889400.72582,19320393.73981,61124545.49878,17367406.86676,45744411.49381,31110392.09133
2023-09-01,315027901.36079,40148530.61112,52260065.6773,14724880.510930002,148527161.65137,39660579.07474,19395878.83161,61691583.65169,26394202.54864,47275746.98545,30531685.95069
2023-10-01,332191488.24471,36066787.51233,51125486.32709,18163888.17378,151547710.73649,36942387.12915,14101806.00058,59665109.94835,27753202.0348,44747674.06025001,31237401.18694
2023-11-01,336908907.56236,40884653.37771,53957036.40167,12100779.07272,149901317.60558,37393389.64972,11265794.946229998,54652839.90386,35843053.52035,44694984.83556,30096038.0575
2023-12-01,360016034.09799004,38846243.74214,50932118.25038,12062878.784109998,156024286.43314,38668482.88276,16528685.97185,58289932.8165,41439608.32487,50973068.12791,28546942.87734
2024-01-01,405642558.52897,44838216.30835,60684214.82456,15556848.10439,171430865.65842,38733314.67076,15801322.451509995,58357104.64522,46759375.43227,53646533.86166,36147025.96791
2024-02-01,385404998.38562,46536268.29615,56146966.98904,13453672.7898,166013510.31641,42254681.783470005,14675903.427219998,67861565.36837,47486128.28751,56406309.22504,31078254.47223
2024-03-01,360257277.22483003,49170328.05456,62309603.53784,13834024.34697,172355478.79579002,39017597.46053,18546835.97019,58842635.15055999,46261102.06546,59895467.667770006,29638576.78604
