date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2023-04-01,52051.75716,2461.12319,48188.092500000006,3978.7236,65405.011390000014,14941.27944,2325.41335,6477.61233,59344.54130999999,168854.54117,37169.34821999999
2023-05-01,81409.72521,4343.816580000001,73424.23964,5819.14188,11541.277919999993,17221.59878,3551.649,8699.94893,72751.54781,178330.19983,14264.348710000006
2023-06-01,498651.32402,4618.475079999999,99091.62602,6868.71562,16310.522629999992,19212.80353,6270.26731,23335.49405,98439.32693,184668.49329,12951.256290000005
2023-07-01,538650.4171699999,5875.54892,128257.93997,8151.62619,19008.924180000016,20490.24921,11856.853,40866.84119,118511.67384,207169.8261,17809.410879999996
2023-08-01,551979.42661,6669.12104,158911.04867000002,9679.5299,2764.6696099999826,21258.79514,16067.07658,44848.13338,131902.89083,210705.19914,47359.316630000016
2023-09-01,565264.086,6858.2172,186181.94627,10831.46771,5130.577020000026,25995.3402,20867.963320000003,56952.09232,151160.90935,219595.46378,10864.79892999999
2023-10-01,596404.7692,12650.05039,217763.4409,15568.063520000002,12761.11785999997,28276.84858,24309.1019,59083.282,169375.091,225975.4677,42198.82509999999
2023-11-01,627383.33314,15077.07134,251998.16508,18833.11963,30675.96968000001,30582.56295,26876.56931,70277.10231999999,185312.07923,232900.5781,13883.569950000034
2023-12-01,640849.4786200001,15512.51313,279895.32675,36272.97234,18262.14645999999,32677.65276,34216.81848,76927.75282,197713.09874,240460.07512,16488.997899999988
2024-01-01,746312.69507,16271.988279999998,312727.8388,39998.34728,33578.72773000001,48690.72483,36358.24986,89133.46547000001,209652.62503,251927.86909,483326.46309
2024-02-01,13653.216219999998,1600.36562,29901.01713,2422.51627,3266.76231,3902.61119,1412.39777,5925.76211,28645.82606,38421.11989,-690732.49575
2024-03-01,25360.61876,2285.11513,76056.07249,4449.4825,10232.6595,6059.9785600000005,2800.1107300000003,11107.84697,51324.66319,44176.81975,106248.7488
