,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2022-02-01,1817175.91291,184622740.88469,33117452.03492,35903565.72842,9232615.34413,59735807.91272999,35157083.45131,21790868.79915,62752777.60195,22119096.51365,2505470.34392
2022-03-01,1742191.92909,185379358.41017,35456918.25487,38688224.50835,9444479.07188,62853350.71958,37585823.29027,23397087.12538,65453761.39384,23182684.13893,2621181.0964
2022-06-01,1878588.27597,193282381.62405,32033389.5391,38907242.54935,9274711.2668,67524560.8677,34115859.01398,21786655.32954,65227006.05148,21834838.16814,2734008.0144100003
2022-07-01,1884819.70102,193494753.0107,30371267.71132,38330811.46943,9172949.57063,67496248.21661,33221944.35603,21205914.61329,64507557.54899,19996396.32797,2987212.31378
2022-08-01,2147289.56109,197259526.48778,32833054.32684,41066377.78508,9453178.08808,75938218.85487999,35636768.034210004,22876266.23471,68776021.30645,19268738.03068,3644404.40646
2022-09-01,2062766.80957,197465858.32009,31952601.04938,40943625.43368,9389140.03102,76559164.66243,34364327.9779,23003062.73032,68651488.05461,19086726.53442,3607462.31486
2022-10-01,2025540.79192,197659306.2887,31408892.77864,41562377.70089,9435410.27511,78767412.79255,33488556.40684,22029344.67095,67553215.61845,18296456.21408,3529744.8412200003
2022-11-01,1979022.17578,197348270.84276,30551970.07805,41699333.32026,9113360.04102,79037165.87405,32720541.47056,21418367.9071,66972659.77763,17310162.52656,3567466.84157
2022-12-01,1968326.22117,198021652.66049,29442044.70962,40871999.24687,8761291.34758,80270704.97962,32180265.6732,21085038.87569,66919644.56285,16658124.04891,3285078.855
2023-01-01,1962004.98566,198715650.11867,29302119.16527,40549183.83462,8432350.37556,81693528.10261,31533572.799470004,19233916.56093,64642731.52257,15374509.34893,3341933.85107
2023-02-01,1907894.32634,199349039.70516,29109104.73585,40408281.70171,8095238.26587,80848614.67182,29835159.69918,18589052.82086,64020926.35584,14634576.38248,3371313.54023
2023-03-01,1962215.6936,198666349.88124,28153260.31173,40680541.30193,8052242.9459,80630300.19581,29651808.05996,17490960.916360002,63656421.88762,13889024.87448,3738897.71599
2023-04-01,1994204.5196,196942528.31298,27244527.48797,38231159.45263,8260273.69517,80761119.20336,29300908.57834,18124755.10582,61957867.66645,14504790.12545,3435794.78204
2023-05-01,1969428.1285,197648965.45894,25913082.43493,38847349.33642,8507536.10104,80281288.44924,27639782.03152,17656422.266629998,57930930.74058,14413742.28509,3483685.73883
2023-06-01,1939194.45192,198872224.04736,23802901.36128,39221164.2109,8818837.436519999,79820898.48791,26902761.20074,17497869.40315,55872451.21734,13621566.90619,3333907.49464
2023-07-01,1906925.68234,201821079.01242,23373534.84456,39831954.28461,9122577.11301,80075810.10622,26796952.72702,18223372.8575,55014313.92666,11751776.34028,3371129.50771
2023-08-01,1899884.02519,205178543.09561,23722163.93832,39980141.9807,9171022.10576,80308484.01853,26536731.16888,18662300.29868,54856052.84256,11464324.47875,3382200.89848
2023-09-01,1908708.21426,207414645.43637,24530576.77905,41286901.274220005,9325906.17317,80768042.01846,27140189.33742,18180128.08499,56449039.77422,10710315.25113,3346161.26776
2023-10-01,1899548.43869,209387438.94257,24288170.46265,42467043.69921,9871634.2191,81800961.74165,27104704.81109,18326218.07547,58321240.20503,10413673.57432,3627123.49278
2023-11-01,1911665.38325,209004820.1151,24233992.01524,42887858.69023,9621273.07737,81856765.95428,27396033.38011,17937925.24788,59875064.39499,11392974.27481,3629530.08923
2023-12-01,1929239.79185,209275659.62878,24362399.32903,44129681.39951,9775781.09815,83994755.47716,27719115.96209,19276028.5623,61365572.68597,11821189.41286,3784880.99203
2024-01-01,1975403.31962,207666673.64983,24289191.81709,46139394.65154,10403783.46038,87220018.59207,27545286.18638,20046832.92126,57743797.6149,12107328.44934,3978409.21471
2024-02-01,2016417.56623,205757118.94175,23063496.31254,46130980.42542,9751468.43144,85979416.01218,27169389.35931,19991353.54588,56731162.30305,11026070.35059,3890129.14021
2024-03-01,2018576.06823,204026309.71129,21956063.18039,46016513.53253,9814453.31744,86536969.3928,27068174.52155,19942177.5253,56601621.09295,11013298.24852,3887112.66719
