date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2023-01-01,73233271.5512,6620193.64956,15452663.02596,3497419.97568,27476110.27679,8990118.92131,4404878.94229,19387257.09555,13913103.65022,12574447.42177,15391862.96372
2023-02-01,9720683.24433,682532.26551,1234222.59812,385310.2723,3021442.79706,949299.91624,,1890083.92391,1201441.55873,1287118.23236,1448653.70547
2023-03-01,14318376.77936,1340703.16248,2293480.4099,666039.18615,3417990.95275,1721372.5568499998,,3800683.07597,1998914.99933,2473921.0264100004,2744304.01237
2023-04-01,25638406.49568,2060489.48514,3539229.2562,1005440.21974,5395979.33792,2623037.02231,,5706792.716779999,2855166.35964,3819899.88963,4186888.17795
2023-05-01,33316570.85652,2753701.08874,4695036.089930001,1299122.74172,6045225.67871,3428967.75599,,7385199.48027,3629767.81113,4995185.54374,5411451.16077
2023-06-01,41551147.04883,3477270.31442,5964782.971960001,1644167.68363,7172630.15436,4318048.81431,,9341725.82571,4263127.767990001,6259604.00986,6490767.42851
2023-07-01,48605783.30698001,4242699.69039,7255508.82215,1990236.77512,12558180.35608,5179743.215100001,,11183534.9245,4761027.35509,7586203.08146,7885002.440219999
2023-08-01,56005049.33847,5061522.47171,8638779.73735,2387386.11763,15440034.31281,6107026.698249999,,13041694.1956,8485217.45666,8927442.24318,9261530.90769
2023-09-01,63795295.26447,5893276.50214,10035000.85499,2766167.22432,18231848.67697,6964518.71678,,15051523.04793,9257858.94389,10355844.56134,10729921.4617
2023-10-01,69992216.42736001,6654412.39239,11456289.48832,3141507.13734,23855026.4074,7642632.7043,,16950706.80076,10046751.24297,11550472.28403,11167443.22129
2023-11-01,77554644.99571,7461439.22171,13080735.48434,3534700.6001,25632391.25223,8661646.39942,,18847697.46315,11028583.94793,12781748.61113,12733009.06552
2023-12-01,88653361.27381,8256726.410929999,14532373.62475,3932977.9302,25170198.78682,9483830.57313,,20840459.66764,11938665.54921,14069826.44361,14326172.01057
2024-01-01,101637532.08108,9041682.78439,16043269.05841,4341414.52513,23359996.99753,10384867.50771,,22587247.81488,12920609.3097,15414264.26274,15792813.10041
2024-02-01,10151843.24227,861170.04475,1551005.3077699998,408588.96491,2339752.23698,873473.0954,,1956399.50476,927369.80884,1269971.98642,1785326.1510299998
2024-03-01,16306212.90847,1674618.83643,3102338.04473,786987.41439,4581108.7299500005,1671779.66257,,3677368.15028,1758359.32064,2469177.18216,3208878.83105
