date;cb privatbank;credit agricole bank;fuib;kredobank;oschadbank;otp bank;pivdennyi bank;raiffeisen bank;sense bank;ukrsibbank;universal bank
2021-12-01;559268905.07666;60276791.47538;109845289.135;31240157.85062;241213056.92993;71265575.17475;43360507.52678;129066325.50384;120753373.31777;77000463.48635;54024197.06444
2022-01-01;582851091.40566;56671964.35889;110134995.76354;33989948.0587;249937975.30984;73425467.53441;49027712.872590005;133651482.42881;125348950.20193;79519997.79423;60207207.45259
2022-02-01;565071463.89378;63239584.82117001;120921328.35458;32507699.38323;241853335.70422003;72346435.00161;49137168.1887;134312238.75734;127940810.42412;78806658.39772;58896763.09451
2022-03-01;571577556.2053499;62657158.62566999;109491954.54011;32212166.18332;248003177.80701;75516582.19668;44025141.488230005;139048892.22832;123773599.4918;83567380.14865;62125538.80593
2022-04-01;582213774.1277499;65697643.93003;104154455.03533;32396708.83607;250224048.60759;80208739.40789;39532322.01743;137572202.16439;114757360.94824;85856683.02164;66452395.02165001
2022-05-01;592380163.18483;67544941.09646;106122580.95228;32546407.47727;263697832.11918;80505540.62812999;40149522.50428;144274292.48360997;112566519.61548;88038330.71344;66071430.80959
2022-06-01;606634946.36693;66567783.618120015;106496729.97394;33974043.699329995;257059880.72918;80302216.75421001;37639010.89671;145378066.20233;107350523.00429;89486399.01280999;65705740.8226
2022-07-01;656975376.13299;64285519.85272001;109916178.87801;33987404.35274;246263858.61041;80400876.74834;36365570.88978;148240165.15913;104026469.83728;91476761.32767;64682088.1682
2022-08-01;693177058.2729101;70827945.28833;116781509.5391;36278430.78656;259992709.09364;86441307.29364;39661103.88656;162284153.69825998;112666536.34001;101276189.2181;70613210.63690001
2022-09-01;708127678.51092;71339717.47416;114992518.89224002;37916725.48584;268216694.80778;87115684.22971;39338752.30038;158187960.1113;111156517.80716;100962400.04683;72421504.21657
2022-10-01;688103235.90882;71458240.21831;118542986.87712;37322529.22772;268697567.4373;87201611.6822;41031040.89737;163298878.16836998;104559924.61227;100815880.56478;78254434.79125999
2022-11-01;706142178.75302;73362782.66304001;123817595.23659;38818606.48910999;270806504.3327;92781008.28507;42963293.17976;169193492.4647;96066305.15031;106487152.98882;81072383.53185001
