,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
76,Sense,08/2019,0.5890894371297453,0.0283445138700315,-0.0197621606770043,0.0008595451231346,-0.00011430973722,-0.021003618087822,1.6846721881388915e-05,0.0015187835731118,-0.0008749571398361,0.0069293310849444,-0.0305918247814622,-0.0368305999260485,0,0,0,0,0,0,0,0,1,0,0
77,Pivdennyi,10/2019,-0.6542280109004288,0.021746511295035,0.0107466291788758,-0.0002223416249554,-0.0047528074817489,-0.017441758123767,-5.974927287559105e-05,-0.0004962738081934,-0.0012335268952035,-0.0023853012727936,-0.0005374510328868,0.0092400979839588,0,0,0,0,0,1,0,0,0,0,0
78,FUIB,10/2019,-0.6542280109004288,0.021746511295035,0.0125211259703508,-0.0002429519299331,-6.494484342957699e-05,-0.0046932772714844,1.098307706952524e-06,0.0026025792027047,-0.0010067686079998,0.0565257011844083,0.0141687234210903,0.018254265411322,0,1,0,0,0,0,0,0,0,0,0
79,Ukrsibbank,10/2019,-0.6542280109004288,0.021746511295035,0.0075381025637521,9.235051381276636e-06,0.0002102074501179,-0.0041281836360147,0.0002414655228137,0.0014699478901401,8.263735194378313e-05,-0.0049052173990279,0.0098493130646976,0.0019589016088161,0,0,0,0,0,0,0,0,0,1,0
80,Credit_Agricole,10/2019,-0.6542280109004288,0.021746511295035,-0.005571874594696,-3.1222753570404015e-05,-0.0001435866594527,-0.0100557046511389,-0.0001935906087214,-0.0007564724480202,0.0007827877634316,0.0092663578809328,0.0139159703403588,0.0205924069262657,1,0,0,0,0,0,0,0,0,0,0
81,Universal,10/2019,-0.6542280109004288,0.021746511295035,-0.0129839707138557,0.000396238904415,0.0011616467896943,-0.0134870967598006,0.0004809200721435,0.0009432489228953,0.0019841698382616,0.0130898902114098,0.0118367896495387,-0.0029292964503717,0,0,0,0,0,0,0,0,0,0,1
82,OTP,10/2019,-0.6542280109004288,0.021746511295035,0.0028385207706295,-0.0001781777136891,0.0003268148084114,0.000721844863708,0.0002989671003102,-0.0009353051824208,-0.0007165608317425,0.0114679174529309,0.0272247762556771,0.0201876908387532,0,0,0,1,0,0,0,0,0,0,0
83,Raiffeisen,10/2019,-0.6542280109004288,0.021746511295035,0.0066480816158123,0.0001047698958345,-0.0008063513799129,0.0014574114599654,-0.0002347715201611,-0.0043657751400074,0.003209581004341,-0.0080849095916314,-0.0043555088719282,0.0519631804251901,0,0,0,0,0,0,0,1,0,0,0
84,Privat_Bank,10/2019,-0.6542280109004288,0.021746511295035,0.0009910220350952,0.0003873776945536,0.0001844537352843,0.0001461293366531,8.83248026651252e-05,0.0067455871908531,-0.0001477360663965,-0.0192438320006167,0.0161611866245713,0.0032540870163195,0,0,0,0,0,0,1,0,0,0,0
85,Oschadbank,10/2019,-0.6542280109004288,0.021746511295035,-0.0075037088575283,-0.0009627811312195,-0.0004003206669734,0.0266621332358047,-0.0002503232015683,-0.0016546227748772,0.0036383741387268,0.0196154470754847,-0.0007747647141384,0.1402296452083007,0,0,0,0,1,0,0,0,0,0,0
86,Kredobank,10/2019,-0.6542280109004288,0.021746511295035,-0.0008171517363934,-0.0003619574385112,0.0001385934073916,-0.003981671218311,-0.0001034050749319,0.0042674787231157,0.0035482327820048,0.0009083151746699,0.0183500991941052,0.0076798863898446,0,0,1,0,0,0,0,0,0,0,0
87,Sense,10/2019,-0.6542280109004288,0.021746511295035,0.0272464601376096,-0.0005999734815746,-0.0014042585939607,-0.0569490789608542,0.000253442861551,0.0015614980005243,0.0011904115824262,0.0087724231868063,0.0067646027846067,-0.0099095111205826,0,0,0,0,0,0,0,0,1,0,0
88,Pivdennyi,11/2019,-0.6805268640402922,0.1608090235195227,0.0111226692862186,-0.0003468826716937,0.0011304130107342,0.0512140553920897,-2.3857576543109653e-05,-0.0006384091533014,-0.0025534796494832,-0.0028292255443105,-0.0067975856190657,0.0078623614167625,0,0,0,0,0,1,0,0,0,0,0
89,FUIB,11/2019,-0.6805268640402922,0.1608090235195227,0.0140331959261308,-7.353501935581166e-05,-0.0003101923035497,-0.0030655810009789,-0.0003211395402926,0.004613472996126,-0.0012361479322592,0.03054174393367,-0.0295161273090509,-0.0042538445263069,0,1,0,0,0,0,0,0,0,0,0
90,Ukrsibbank,11/2019,-0.6805268640402922,0.1608090235195227,0.0194194824648561,7.106319875122176e-05,8.521719430907432e-05,-0.0070351403692908,0.0003291691049045,0.0042280083318681,-0.0018546447696098,0.0368096791936212,0.0114673306872139,-0.0362514152322006,0,0,0,0,0,0,0,0,0,1,0
91,Credit_Agricole,11/2019,-0.6805268640402922,0.1608090235195227,-0.0049830743441052,0.0003326732792393,-0.0004652084077732,-0.0065427826073656,-1.915730249540514e-05,0.0035792758608523,0.0024707370266451,0.019840029982905,-0.0116513077134331,-0.0149669354574015,1,0,0,0,0,0,0,0,0,0,0
92,Universal,11/2019,-0.6805268640402922,0.1608090235195227,-0.0026755306614361,0.0005126715398056,-0.0028965211961191,0.0259185903872861,0.0003814943370065,0.0041279089063786,-0.0012875872265888,0.0299486020440984,0.0056892594875965,-0.0527088605368,0,0,0,0,0,0,0,0,0,0,1
93,OTP,11/2019,-0.6805268640402922,0.1608090235195227,0.0020415793121266,0.000183082004913,-0.0001204967825938,0.0076138560424205,7.897697784143686e-05,0.003000602019085,0.0020415624193518,0.0567075357707559,-0.0315557093060637,-0.0149861767522345,0,0,0,1,0,0,0,0,0,0,0
94,Raiffeisen,11/2019,-0.6805268640402922,0.1608090235195227,0.0050007422178653,-0.0002099717849575,-0.0004270272723006,-0.0015822120469527,1.4335009560950858e-05,0.0035552651358655,-0.0080971999197023,0.0393939198363039,-0.0001549377344974,-0.0303120199725732,0,0,0,0,0,0,0,1,0,0,0
95,Privat_Bank,11/2019,-0.6805268640402922,0.1608090235195227,-0.0006967898308795,9.727334698788476e-05,8.983702694743273e-05,0.0018507512983621,-7.125643480914313e-05,0.0075253953299707,-0.0106021248898284,0.0255801864158544,0.0014779710235687,-0.0077584323929151,0,0,0,0,0,0,1,0,0,0,0
