,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
2022/12/01,2577747.3144900003,6620822.08461,945673.04864,3247939.11489,112569.64929,4373963.65782,7097445.760709999,170578608.29969,29648901.88786,1198790.97792,6278701.64931
2023/01/01,2602297.77117,7879076.45879,969360.06855,3492449.12709,112854.35007,4297263.39658,8813662.66665,170160123.94758,29480178.16049,1303027.09639,8118460.73662
2023/02/01,2333619.86798,7797808.3666,996625.03426,3557566.53924,113654.65294,4374659.78405,8861533.0229,170373639.87138,29856767.96455,1331951.32187,8124942.873559999
2023/03/01,2120258.60268,7394310.70723,977122.97548,3443414.59195,113521.17062,4629596.573129999,8817517.34564,170398329.24675,29503306.02475,1253246.46983,7920599.71934
2023/04/01,2018763.0563,5345739.80248,955823.16963,3407056.74709,114581.27444,4812500.8217,8773167.59103,170417173.66496998,31399800.70169,1316902.41451,9571248.37546
2023/05/01,1924722.87934,5403984.67167,887922.84773,3322774.88221,116185.75034,5303391.383669999,8710224.52017,170503015.39839,31987996.00893,1303196.61247,9358147.58715
2023/06/01,1945138.87533,5419565.75206,869940.4824399999,3235146.17701,116553.53027,5252000.30952,8580488.48115,170657697.7934,31628116.38625,1263055.72541,8901646.22795
2023/07/01,2222494.72825,5178896.6998,873510.31538,3572937.11913,114418.39535,5269661.79833,8534732.51277,170667242.72445,31395520.92266,1169705.38692,8202445.92261
2023/08/01,4711398.59666,5182759.83041,877475.76103,3556807.65515,117048.14788,5140642.84984,8614557.6479,171308675.60075,32862262.24443,1153672.75378,8434686.37081
2023/09/01,3607032.98106,5242130.7968,876621.33489,3486999.66965,117712.7757,5471104.20438,8560658.756509999,171379721.4245,32854898.48319,1096323.44389,10334816.67317
2023/10/01,3546199.79952,5050825.35702,851509.1737099999,3429782.56195,116729.34155,5184677.80597,8420888.979629999,171413047.76294,32448562.33374,1032998.58931,10309912.89156
2023/11/01,2465054.10357,5038438.68349,1031314.83398,3376229.88012,117419.59696,5159708.58302,8304547.41566,171518220.48255,32004788.26377,990074.85059,10779739.61681
2023/12/01,3024728.21448,5339625.72012,1047645.49477,3403627.60433,117887.03628,5047172.61917,8431642.81008,171524134.72985,30402348.9632,986638.59666,10784966.82263
2024/01/01,2977765.68864,5733285.20372,1274290.11038,3251660.36807,116815.35508,5226859.94818,9298422.83173,172198649.43085,31255732.79186,881862.7356,11007214.60861
2024/02/01,2826815.52169,5897977.91769,1274564.25392,3521049.48917,115906.06319,5210943.03104,9363268.89547,172180164.39236,30620973.504800003,847807.40901,10730638.99146
2024/03/01,2817828.53499,6044166.457330001,1292455.23518,3440498.0440100003,116666.97552,5239763.431059999,9206586.30985,172314422.32956,30549892.62078,798442.2405900001,10802171.94979
