,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
54,Universal,06/2019,0.0094696969696969,-0.0092939814814814,0.0095707698110993,0.2459058476095067,-0.0461789691769279,0.8678220286224927,0.0904077657119833,0.090593338848204,-0.0018282050758728,0.1332785854726186,0.0252789602403151,0.0040425461398463,0,0,0,0,0,0,0,0,0,1
55,Privat_Bank,07/2019,0.0131734006734006,-0.0118125,0.0160804114676852,-0.0530590007378764,-0.0095034881392406,2.678126128465817,0.0113452433328438,-0.0003151667979501,0.1132072547458923,0.0445434327776078,-0.0345242868333633,-0.0001679333343082,0,0,0,0,0,0,1,0,0,0
56,Credit_Agricole,07/2019,0.0131734006734006,-0.0118125,-0.0192053696281803,-0.0497485119470098,0.1629465534998009,0.48878251754176,-0.0114750178277095,0.0241657341497577,-0.0220656331303404,0.0309582266020521,-0.0696278105190126,0.0001562862954982,1,0,0,0,0,0,0,0,0,0
57,FUIB,07/2019,0.0131734006734006,-0.0118125,-0.0013727967277604,-0.038483101786971,0.0403714297909762,-0.0442226697827514,0.0445586026251567,-0.0333983363073874,0.0061344445150537,0.0342610100208073,-0.0471396950864916,0.0011240773495643,0,1,0,0,0,0,0,0,0,0
58,Kredobank,07/2019,0.0131734006734006,-0.0118125,-0.0059835474218216,-0.0225802337713563,-0.0394861337434575,0.6794206723386601,0.042116140485409,0.0306611927979328,0.0307447140408561,0.0525562959338632,0.00479968950052,-0.0003627639577272,0,0,1,0,0,0,0,0,0,0
59,Oschadbank,07/2019,0.0131734006734006,-0.0118125,-0.010602069742171,0.0699909210637339,-0.0052068825725051,4.656792643799714,-0.0211814270983412,-0.0419546782812137,0.0002302225230524,1.2324462029547585,-0.0363258650946569,-0.0002810937436365,0,0,0,0,1,0,0,0,0,0
60,OTP,07/2019,0.0131734006734006,-0.0118125,-0.0375170297128506,-0.0275398888185807,0.0475572816327533,-0.1118621672489735,-0.0154115881364459,-0.0341222294504899,-0.0026550416109653,0.0042720216154012,-0.0535244663141198,0.0019540956375343,0,0,0,1,0,0,0,0,0,0
61,Pivdennyi,07/2019,0.0131734006734006,-0.0118125,-0.0043168478528157,-0.0090528577792537,0.0534129119722694,1.1073530135168623,0.0704429956217256,-0.0588446557449597,0.0136347868997799,0.0500647568216509,0.0010016518383581,-0.0001310109526881,0,0,0,0,0,1,0,0,0,0
62,Raiffeisen,07/2019,0.0131734006734006,-0.0118125,-0.0325045536491671,-0.0003702166619702,0.2266310193433906,0.1266682471850104,0.0194308480551783,0.0100996593948045,-0.0420336886613355,0.0568389489030714,-0.0677524905359169,-0.0005973978766349,0,0,0,0,0,0,0,0,0,0
63,Sense,07/2019,0.0131734006734006,-0.0118125,-0.0099660429391554,0.0041031565120836,0.0783404241327692,0.6332266616820021,-0.007235699095963,-0.0154914428984925,0.0132918447274213,0.0215967601242151,-0.0478791940812955,0.0006585342949976,0,0,0,0,0,0,0,1,0,0
