Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
296 ат отп банк,2680134.20714,2647082.81806,2432059.66595,2387568.26661,2316865.9224699996,2252739.21348,2190800.54609,2295593.60158,2502127.91052,2283038.25618,2250547.10385,1888767.8298900002,1950884.5261900001,1936712.35021,2162666.70328,2181223.96217,2186998.221,2344312.74509,2399774.05988,2248288.56878,2263448.48177,2733110.975,2186538.60489,1658627.63827,1630737.7316400001,1625847.20016,1508909.21796,1467740.24544,1420908.88319,1598784.55689,1309112.23455,1118694.53497,1185680.9328,1049440.72572,1127350.89303,1115486.1713699999,1124460.9823399999,1321775.21613,2966532.76102,3375652.51234,3473978.27419,3571515.99669,3821802.51928,4373963.65782,4297263.39658,4374659.78405,4629596.573129999,4812500.8217,5303391.383669999,5252000.30952,5269661.79833,5140642.84984,5471104.20438,5184677.80597,5159708.58302,5047172.61917,5226859.94818,5210943.03104,5239763.431059999
297 ат сітібанк,2389.20854,4499.20425,5341.997289999999,3073.00752,4377.5996000000005,8517.96163,10078.517100000001,7190.941870000001,7374.015230000001,12030.2287,12935.67821,16316.98125,13553.49793,14874.575569999999,15044.2759,2433.96237,3435.19068,4219.13364,4272.83165,4127.4726,4961.13898,5069.16353,5188.503269999999,5365.941919999999,5787.77299,7000.381689999999,1886.19999,986.46045,1698.87115,11882.40985,18727.81102,19425.634140000002,631.6438800000001,906.12798,1040.07546,1363.15588,1473.04606,2879.68177,1477030.13038,1819863.82085,1794161.1136899998,1739947.87749,1738780.07995,1738785.58496,1739450.5850199999,1728827.31757,1673091.96722,1671471.72425,1669279.66487,1664923.12062,1657173.5844400001,1638856.8679399998,122.27735,43.90792,1626.00219,674.2334,474.09355,7.2764,0.00026
298 ат прокредит банк,492009.79819,518139.50886,714963.1516,693698.43219,656417.75955,657881.7701,569780.07468,496710.53511999996,652243.4491500001,651971.42026,698675.85569,656248.79328,665043.82391,658886.95771,723754.88021,663467.65221,665302.11866,670678.131,691421.58326,668157.16763,598666.15424,780330.0255100001,790937.72369,797668.64475,813411.32009,836535.0586,843683.6287,733390.59163,707657.57676,691127.52382,638150.2850800001,687269.6514099999,639648.77286,452254.40063999995,414648.0237,424524.68585,411647.40434,789394.10352,2257707.31411,2585307.79167,2662512.46977,2948458.1548,2942650.64596,3014714.98588,3052392.7415299998,3088559.781,3095238.74899,3043189.9158,2980548.00169,2947632.4512899998,2972300.47186,3029046.04306,2734490.62078,2795203.64705,2672633.8666999997,2848804.74142,2515377.1294,2548551.05862,2479941.1304
299 ат мр банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25083230.28427,23709032.92359,24545888.1104,,,,,,,,,,,,,,,,,,,,,,,
299 ат сбербанк,42506490.48169,39612727.80927,39863251.45475,36486693.92973,37036725.28233,36153497.158989996,34741140.97482,35010650.42192,33349851.99278,34662911.85734,33419360.70716,32651441.70801,33980878.16991,33347291.34291,37338929.46012,35975869.56582,36132563.85846,36161275.25419,37819382.11769,37726023.95927,37627148.940799996,37357955.11934,36987502.63049,34677556.59332,34496606.30316,34342257.20838,34294011.40124,32884996.30141,32455800.945210002,30583447.09241,30591119.441069998,27032578.56007,26842185.38253,,,,,,,,,,,,,,,,,,,,,,,,,,
3 пат промінвестбанк,43529988.02822,37782667.82107,38179802.71787,37482115.51141,37072703.37213,36296216.781729996,34956440.33448,33409560.37508,32215596.2261,33107456.4366,32414768.93507,31971644.60835,33343401.21034,33060584.51379,36963388.61099,35822734.01269,35320005.2243,35254827.6449,36609674.72802,37557650.16411,24504747.99013,24724214.8309,24875714.85481,24904123.0633,24833096.91941,24873112.0236,24917279.89444,23805695.25559,23607210.96048,23516322.03093,23594324.18876,23492703.02793,23428087.71453,21939761.552529998,22131156.79582,23256663.90124,,,,,,,,,,,,,,,,,,,,,,,
305 пат банк восток,354440.27398,348385.65274,353016.62363000005,319108.4962,325135.69643999997,321049.81602,318757.97416000004,321159.70051000005,277290.4972,272045.48403,273923.10167,191672.40242,210927.86448000002,185506.49125,126024.28219,125108.94986000001,124768.84353,126596.74737000001,127273.29421000001,127962.89626,174920.29949,163902.84588,164789.05498,158066.04658,158803.40983,160313.08427,228693.60858,156523.67271,160687.84554,158263.16396,156731.12042999998,157312.07682000002,152435.06954,151516.2696,149465.48053,150208.1304,272468.91976,205015.88793,573823.79267,664648.64664,640353.26482,1343611.04988,1358890.1756,1193819.78126,1152917.5143,1150097.41961,941568.22067,933620.59046,929893.66811,957143.5503,929295.80438,882023.8051400001,853222.32349,923206.9026299999,973205.24978,929416.17021,942327.04482,939170.98404,935533.37265
311 ат банк траст-капітал,20461.681940000002,28588.92938,28639.327370000003,28191.6949,28330.945959999997,27952.82247,18261.5593,18334.89899,17629.300750000002,18002.98688,17402.19672,15055.75982,15575.232349999998,10348.58946,11823.49835,11364.19306,11336.59513,11246.55427,11667.51742,11576.76027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.91258,1392.23709,1409.62552,1377.46206,1394.75065,1216.69922,1075.80712,1073.93973,1088.34411,1102.74849,1115.7589,1130.16328,1144.10301,1158.50739,1172.44712,1186.8515,1201.25588,1215.19561,1229.59999,1243.53972,1257.9441,1272.30913,2754.82944
313 ат український банк реконструкції та розвитку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0
317 пат кб фінансова ініціатива,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317 пат кбфінансова ініціатива,11243882.07,11137746.62036,11432256.46143,11645241.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320 ат банк інвестицій та заощаджень,,,,,,630317.9123900001,593130.29317,504341.39472000004,477518.68781,475885.14519,438682.14793,446607.32677,454248.29364,434102.75043,450699.95042,443188.66127,716831.8315,737641.70163,757597.99963,767910.36324,639276.91632,561215.05926,477046.61347,454336.99307,497579.48073999997,712321.42346,707455.30589,704595.5098400001,683064.43368,639760.6851,638468.96952,631536.51547,629680.28176,459428.23718,432811.65544,409188.08268,372453.71889,373885.27801,558845.08973,617218.78633,593179.96784,602865.9261,602423.65623,603594.46635,576964.312,574155.28463,571232.33658,681315.91278,660033.53509,655731.0242,587574.64833,573792.48836,563913.38058,533273.2039099999,526032.26786,541832.2087900001,525591.44334,519057.087,511960.10069
320 банк інвест. та заощаджень,736704.34357,710704.31545,599224.39035,627639.16189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320 пат банк інвестицій та заощаджень,,,,,644318.7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325 ат банк форвард,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46418.89686,42056.59384,39971.61571,37994.66358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
326 ат акб конкорд,59677.99329,59184.981680000004,44682.58745,73762.10192,77725.03235,76284.41912,77076.23138,79701.70134999999,83996.2462,87216.09161999999,83966.42701,86816.71565,87802.46778,100875.18802,108776.45797,137026.73427000002,144304.96917,141970.94417,143351.82142999998,168407.52593,166942.37157000002,169424.52964,168397.7115,143011.05262,150467.19516,135985.97235999999,136698.96603,146984.80651,148337.17316,158494.08138000002,186103.52628,177081.70449,183666.25327,174623.06941,173254.15371,168089.50598999998,174745.76185,240252.06766,240404.47782000003,244686.13052,246025.71476,244607.69926,245361.10941,254993.62631,254726.7513,255914.29706,256614.72116000002,258273.396,253376.4504,236104.42269,234973.20042,,,,,,,,
329 ат кредит європа банк,576102.65998,562283.25636,560437.0204,451798.68701999995,453846.52245000005,436629.88857,183302.86952,182019.77005999998,177496.84062,171512.71918999997,167432.33341999998,166127.81256,159696.85427,155049.36218,168202.91905,155341.89974,155833.74617,155442.24141000002,150405.68230000001,146090.70851,150034.10341,140076.37019000002,136684.37696999998,127380.09421,126637.41822,122643.08674000001,98120.27506,97375.93215000001,44956.92532,44571.15344,44480.83512,44003.63787,43619.87869,44888.241089999996,45008.54015,47398.91702,48123.59715,175015.59295000002,307838.4971,337476.54773999995,328291.97988,321723.74844,303577.81053,300659.55042000004,239476.44277,232828.30426,165137.27722,159968.97186000002,154064.98084,148650.88757999998,141627.37986,135721.07246999998,131256.24147,112945.9047,107963.42292,105281.85083,102191.05457000001,98894.47532,96982.44136
331 ат кредитвест банк,123960.92459000001,122557.70787000001,130300.95173,130303.98005,124536.96808,124583.71523999999,121912.00650999999,121961.27491000001,120531.92971,121046.67429,120477.84352,168825.66667,182624.03748,219880.03188,240375.72888,235189.25625,249483.31128,159828.45532,126542.78749,127240.87073,126357.39153,127589.75231,109931.45627,102778.21198,102600.35271,107809.45719,107844.59417,107690.92555999999,107624.55548,106771.82648,106603.629,77194.36669,76517.80665,77237.62668,68368.49111999999,68126.2068,68306.27875,63334.85647,63008.5902,83617.75232,84254.73517,86953.90841,76277.29019,76201.8604,74689.1965,73661.40812,71609.21452,70625.18796,104197.1877,102972.31806,95681.76266,60630.24414,130367.25421999999,218760.66688,259603.75464,255978.34745000003,253509.08498,240338.24576000002,272581.11361
36 ат райффайзен банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,867347.40723,846326.49184,815792.15951,1018525.9241299999,806770.13782,776547.06464,773329.36991,750678.60299,752031.91518,713382.11782,1080139.76661,3103333.26401,4119670.08092,4817203.08235,6107533.88383,6943107.52473,7097445.760709999,8813662.66665,8861533.0229,8817517.34564,8773167.59103,8710224.52017,8580488.48115,8534732.51277,8614557.6479,8560658.756509999,8420888.979629999,8304547.41566,8431642.81008,9298422.831729999,9363268.895469999,9206586.30985
36 ат райффайзен банк аваль,3044971.8444000003,3086931.58421,3107678.13685,3083551.99274,3095717.4897499997,2891557.8283299995,2837942.1497500003,2800877.67038,2965258.25463,3132005.70786,3122200.3460500003,2966005.7066,2572638.4424799997,2573476.74004,2606925.27818,2562879.32807,2567258.1187199997,2539133.65449,2584482.26854,2609726.6418399997,2630825.4156199996,2605633.42519,2022897.7581500001,1021791.4250800001,890162.32677,895148.32462,908595.56766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377 ат укрбудінвестбанк,80640.50574,81359.21262,76637.76834000001,70832.56728,62190.59284,67643.85233,67449.84703,69319.91144,99604.78651,143790.88485,141394.53647999998,156754.10819,155588.39319,99107.97479,104589.25753,147503.39608,112180.90856000001,112976.92651,114200.01069000001,117258.20755,91035.87437,38701.49821,46193.00492000001,45477.058880000004,44255.00392,48580.685670000006,49349.6613,63488.79436,77126.76310999999,77978.52047999999,73439.74140999999,64586.60231,50297.642060000006,48667.2474,67902.35678,71771.56563,51836.85759,76573.37786,78504.2654,64632.7131,64509.5414,68078.12726000001,68547.42091999999,68032.57617999999,52194.61,59712.54814,57492.917530000006,56480.51998,56287.42535,58221.95427000001,54920.24233000001,103381.3398,105436.06592,,,,,,
381 ат мотор-банк,14445.60292,14445.60292,14445.60292,14445.60292,14445.60292,14445.60292,14988.28222,14923.13184,302.648,262.20408,261.50959,202.72198,201.33426,196.20091,323.35013,322.16928,318.4415,308.91,373.52217,276.86705,187.81643,189.89991,199.68733,205.28701,207.69593,210.53502,213.11601,215.78303,218.36402,220.94501,223.69807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16048.55927,15793.85746,15842.979589999999,15950.802220000001,16089.4534,21145.43776,21330.42089,43696.901679999995,38840.05591,39021.441080000004,39246.43782,32019.388079999997,32119.437609999997,32198.53694,32302.840969999997,32429.07403,32576.206270000002,32774.281240000004,32997.01185,32814.51913
386 ат кб глобус,125086.84217999999,124976.96752,111738.62377,126514.55928,117189.53727999999,122582.36311,104575.72137999999,118424.74055,137013.69733,153481.70314,146387.12262,151729.33012,167889.95748,174151.19231,173978.78831,171723.81050999998,173323.27854,177552.29412,178560.11158,179896.95865,172024.00529,169099.91778999998,90931.23608999999,93333.98405,93618.31379,90987.86394,91497.81444,123700.10641,137861.29793,130479.02435,131550.29997,130079.44963,125195.78086,119931.25056999999,148436.73481999998,116975.329,140025.10517,142903.44201,271366.93439,212208.45364,172451.74318,174247.69600999999,172499.54185,175651.46512,169491.69634,169292.79475,173903.26768000002,172511.84559,173345.17716,161393.22989000002,169190.65831,168200.75566,163462.07696,155902.97832,348586.11110000004,388682.16177,357786.48812,395579.76311,406483.43036
387 ат агропросперіс банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77315.61305,71638.70273,51775.884490000004
387 ат ап банк,6146.272290000001,6092.53183,6023.72772,6084.313169999999,6204.68418,6220.77283,6231.590520000001,6405.157869999999,5973.52112,4611.47686,4316.16055,2276.10279,9263.64319,9203.32353,12315.14073,12408.76647,12436.83084,15758.38389,15932.44649,15503.77881,15924.40519,15005.02829,11199.11892,11030.61096,18507.11928,18494.17106,20663.270809999998,19507.2715,19370.779179999998,18194.642910000002,18737.9185,19481.81103,15167.53184,18418.61878,17355.39284,16654.37999,12720.89304,12853.66208,12870.01152,11885.9548,11832.18555,25503.33803,31632.261550000003,35529.0746,40463.43978,40717.61373,40079.09733,40061.40061,63395.96256,67066.45801,68377.73955,67922.2364,77158.84250999999,77146.12445,82266.87743,76908.86348,,,
389 ат міб,986365.01012,945094.32006,958398.18791,941523.2487100001,1046358.5186899999,1029059.74328,1001916.74545,1014174.57021,985029.69294,1020422.14404,952490.14199,960671.21195,1006531.7182100001,1001428.81361,1096776.07972,1022949.38272,1028524.8396,1029569.23477,1062591.492,1062729.0228,985727.18336,1039212.18784,1050122.81843,1188969.57388,1123127.35031,1123985.91709,1123525.6477,1132060.64944,1171794.36153,1180088.50549,1163601.23569,1157928.47584,1151181.9133,1181217.7869499999,1109625.10947,1151996.6638,1178175.67503,1192109.7737099999,1268862.70095,1057518.05984,1048686.50912,1094103.88602,1169348.3803700001,1214555.6770600001,796638.4919499999,804138.67925,807744.84125,819127.91749,807777.65127,802228.93774,790373.38257,772843.28596,781566.43782,874941.76665,870718.48644,875390.4680999999,846932.02301,845849.89943,848849.53071
392 пуат кб акордбанк,10430.44318,10644.96673,13638.549570000001,4688.03368,28203.369459999998,34382.82236,51119.96198,39041.81194,39024.89567,69482.81556,70461.82367,61924.82836,42101.52097,56301.33819,75425.99178,54363.94812,44997.70786,23822.98729,34465.95954,52468.10654,57086.461,57040.79131,57558.3574,49806.76347,43188.32794,104545.30091,110088.83517,108591.15934,243958.31778,224200.68188,215873.5099,243251.8531,330640.27181,400657.00425,393651.39041,430282.76033,375394.41804,476726.26877,445216.90252,501238.90319,556756.1083,653051.81058,646165.3414700001,732260.51559,732391.86327,733670.53628,722229.20192,777807.9191299999,664573.02322,587607.3618,577873.97196,576960.00031,576568.15584,576880.88255,579264.82646,506044.75364,511603.93076,445069.43538000004,445342.83094
394 ат банк 3/4,13260.33632,13743.00274,13518.13074,13490.370589999999,13477.93132,13261.790850000001,13270.74444,13401.66855,13287.638860000001,12895.92678,12976.519669999998,12980.52671,13009.320169999999,12995.16545,12993.44873,13096.84281,13262.519030000001,13444.924920000001,12289.2417,12446.56679,12608.22095,12519.05759,12606.46548,10615.91639,10407.67602,10449.26442,10552.35059,10498.30057,10562.64685,10636.346,10511.06484,8510.9986,8522.04957,7027.83373,7036.22571,7114.33762,7179.61446,7485.50116,7602.29764,7721.72783,7839.97981,7453.24977,6782.49069,6888.0007,60846.67441,61461.174459999995,62158.46643,62929.49757,63073.4084,63176.74282,62963.80468,63032.84743,63089.4256,63139.867210000004,63187.38831,63228.894250000005,63258.927890000006,63258.927890000006,63258.927890000006
395 ат єпб,53629.34751,54006.084259999996,54802.17706,138775.84688,139462.01247,153027.69223999997,92175.38866999999,81991.03778999999,131658.91422,134069.10728,112665.98666,102013.81861,104990.40332,104958.84838000001,110190.54121,119745.69552000001,114574.00214,115286.04925,118423.23392,121571.43399,122244.37719,123096.76169,132413.53275999997,130604.02567999999,129923.60236,126866.19705999999,124887.54804,125122.38617,124498.65346999999,119790.29905,118956.87225,119046.51967000001,115204.35389,116820.31483,110480.5459,110541.40347,120606.03641999999,113215.51134,117928.9831,132191.99026000002,131495.32941,131726.39257999999,130135.93222,140259.90115,139133.84347,139287.62392,138981.87316000002,138274.08605,136676.94291,136150.77541,135562.75936,134182.26266,133799.45731,133254.23467,195310.8001,177380.94492,180430.18843,179171.6571,179582.47314
402 ат вернум банк,241473.25431999998,242253.89331,230282.67118000003,212020.24782999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407 ат дойче банк дбу,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43 ат альтбанк,548.4999,548.9205400000001,549.38625,520.95284,485.2523,523.92214,393.31529,454.52377,355.23272000000003,330.85605000000004,422.23267,85.14168,0.0,85.42044,0.0,0.0,118.76567,140.26457,0.0,185.36485,167.26024,813.87789,51.30123,161.42248,616.89822,4199.45373,0.0,3178.46572,3226.54774,3276.23248,7739.38411,8252.04044,8372.340209999998,10209.05931,10259.61702,10310.18496,10392.382409999998,4029.07008,4012.90967,3879.40461,9073.89113,9032.675,9091.68967,9067.84061,9197.61104,9246.53092,9063.57673,33423.94504,33827.22971,33958.982749999996,33936.74808,33787.57377,34329.65044,34379.79399,34247.875439999996,34204.52202,34973.549549999996,35015.72284,34907.02222
455 ат себ корпоративний банк,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46 ат кб приватбанк,217498058.13279998,216615261.35459,217569018.96190995,216854207.38397,217137952.75169,216275003.68519,214809604.68293,215286478.7832,213623303.02194,215429609.63235998,214090244.77008,213238721.53103,215913741.75022,215344375.39702,221256499.41994,219672414.48143,219948540.40594998,219922356.07805,222045273.64242002,222022200.20192,220814498.33053002,195723962.65561998,174531013.27145,168988920.40671,168761785.03693998,166621670.24165,166700629.94297,166687845.71038002,166550588.54946002,166521984.97367,166618047.56274,165614748.10048002,165384664.28005,165859033.06304002,165155621.90535998,165839663.11314002,166095068.34162998,166916948.88,166710251.94508,169747228.10384,170000458.99709,170357227.81028998,170508050.91049,170578608.29969,170160123.94758,170373639.87138,170398329.24675,170417173.66496998,170503015.39839,170657697.7934,170667242.72445,171308675.60075,171379721.4245,171413047.76294,171518220.48255,171524134.72985,172198649.43085,172180164.39236,172314422.32956
460 ат банк січ,161109.82776,141100.97480999999,148166.33941000002,145685.6957,90896.59398,142232.47007,135711.74764000002,128863.02294999998,125963.04871,132384.5598,107067.79312,65082.17494,59670.19882,53120.63879,66277.04461,62369.65474,57204.76677,53320.31252,152622.41270000002,146581.6211,198821.90826999999,221012.86424999998,169660.64288,169021.27607,46147.60739,48171.58184,87253.41682000001,86454.76133000001,80331.56872000001,68071.96283,65756.56803,58380.26899,64678.63993,56104.75481,52766.05263,55621.520280000004,75274.61563,106279.52659,105765.37585,104817.28292,105197.58591,132785.12248000002,,,,,,,,,,,,,,,,,
49 полікомбанк,160907.33514999997,155931.9859,129623.86678,188848.07937,128282.67865,121672.48065000001,120544.32004,120756.2299,122549.33761,122066.68772999999,122469.41613,128348.69272,128423.25426,120428.22042,121774.45846,122499.99915999999,124256.77622,110747.08309,111606.45666,80121.93066,81542.79711,82487.83072,83140.70938,79453.12418,76129.06552,76377.67869,76522.35874,76190.43642,63487.94803,63235.97918,61829.46129,53003.26874,38096.49444,33289.94973,33246.53056,34009.34682,,34120.54827,38256.07478,37635.43283,37375.956229999996,48361.92968,37223.94469,37100.90306,43429.29597,45119.50863,42825.40182,42586.17625,34665.34322,34123.31388,33485.13947,35392.62378,35270.08631,36497.86561,74506.41768000001,85245.54652,84084.34304,79409.41275,78866.90929000001
5 ат укрсоцбанк,8018125.90446,6016278.315400001,6007550.29128,5880154.668,5954128.69887,5867825.997380001,5273211.91478,5316740.596109999,3761359.0731899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512 ат альпарі банк,92.49427,2179.24445,2543.6841,2527.7023,2496.947,446.53048,425.63692,404.37291999999997,382.84900999999996,353.91718000000003,361.20246000000003,846.48311,834.88973,823.30535,838.9007600000001,827.00036,815.7976400000001,825.13634,22299.7058,22146.34692,22131.560999999998,19854.53558,19201.89482,19239.12811,22176.17072,22224.93743,22225.748630000002,22248.278130000002,22249.088330000002,21906.82444,22176.180650000002,724.16207,732.24877,740.01726,748.10396,1140.11623,762.48719,791.76335,794.00815,803.87294,813.73773,823.28431,826.12126,833.99519,839.48998,849.35477,856.59226,864.80113,872.67506,881.73979,888.75133,894.21807,904.08286,4108.35883,4175.2291000000005,4234.86538,4293.16822,4356.75483,4414.021290000001
553 ат банк авангард,50512.515530000004,46776.024489999996,45290.98384,43761.57002,41435.81888,39863.03978,38288.36847,36428.87131,34788.81289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37944.37658,35396.8163,35997.5038,35998.32505,35978.95668,35998.35345,35978.99664,35998.39408,35998.49004,35940.22385,35998.22463,35978.85463,35995.65248,35976.89787,35996.25983,35996.14653,35977.07136,35996.43625,35976.87947,35996.55951,35994.96752,34444.43575
6 ат ощадбанк,74645022.75968,71818770.50896001,72858989.0291,71283347.06285,71977547.43603,70719078.78718,69755290.19013,67243938.06154001,63958924.76464,66265656.95128,64230477.0262,62276348.442889996,65043051.11193,64269647.70597,72272592.21858,69439286.4521,69773137.89109,45106113.61323,46473812.32084,46522581.85949,36209122.86956,36245160.083000004,36398600.95186,29692733.880620003,29553639.23043,28938127.76651,28332265.80105,27708148.00052,26341711.23966,26124369.46746,24056492.34988,13713500.396909999,13871858.68658,13932570.94027,12847245.01008,13015822.51734,13145491.41728,15111582.727190001,18381148.144530002,20154887.11476,21120520.2137,23912950.83298,29206500.99137,29648901.88786,29480178.16049,29856767.96455,29503306.02475,31399800.70169,31987996.00893,31628116.38625,31395520.92266,32862262.244429998,32854898.48319,32448562.33374,32004788.26377,30402348.9632,31255732.79186,30620973.504800003,30549892.62078
62 ат таскомбанк,1125461.52629,1335721.16721,1541754.5428900002,1586485.38422,1571187.9751199998,1573656.84491,1466361.79297,1358803.18986,1300268.73535,1277609.96936,1257957.4111900001,846031.87089,874348.11188,1020089.2841,1038270.5912499999,1038791.02067,1158455.5921,1132744.20662,1216054.9908,1143386.85305,1166513.50843,1162201.2597100001,1146839.54675,862790.60464,689864.5543900001,468976.9041,336358.34001,343702.08682,378897.42854,381497.4123,370053.64684,346584.79415000003,274789.61798,268182.71545,246783.63033,267885.4235,267271.016,241299.49061,755736.3243,921354.50187,897010.4208399999,1088811.01046,1043118.05951,1050382.58959,2149756.74378,2177607.83064,2185927.17298,1817060.82186,1809042.79126,1797293.81071,1730428.67155,1938640.78241,2150287.28438,2271523.21938,3006117.44418,2880357.56646,2962406.99415,2868266.89381,2847593.67356
634 ат банк портал,78306.90067,84951.88464,85563.0848,86665.07199000001,87837.23899999999,89413.3052,66554.42207999999,67713.70021000001,68782.15761,69883.94008,70952.39748,60993.97013,62095.026190000004,63125.046370000004,64226.10243,65291.640550000004,65291.640550000004,65291.640550000004,65291.640550000004,65291.640550000004,58423.71579,58423.71579,58423.71579,54379.82598,53976.33258,35796.33258,35796.33258,35796.33258,37332.41739,37341.552090000005,37211.875550000004,36979.98325,41491.726599999995,41490.89053,40481.49521,40481.49521,40481.49521,40481.49521,40481.49521,79813.48142,81340.07448,81718.02699,82367.87056,82975.03031999999,83603.22752,84254.83548000001,85519.58842,86207.73595,62204.976689999996,61396.70225,61746.325150000004,62107.60214,62468.87913,55829.50203,56190.77902,56540.401920000004,28095.446259999997,28455.736159999997,28792.78155
694 ат кристалбанк,98611.73150000001,100172.14752,108506.86839999999,109160.94698,109817.07423999999,117308.05822,118624.18763,128505.20041,130393.70091,111241.22729000001,120124.76350999999,115841.01064000001,121971.11340999999,106273.07956999999,107800.89486,129336.55784,129709.80622999999,131318.56351,140839.44144999998,142794.02594,138129.11534000002,138765.16673,148148.80658,137138.26413000003,149324.85083,144034.11807,130437.42232000001,133837.26681,134397.47018,126444.09550000001,127110.38903,113830.19804999999,114882.39639,113695.09451,107195.18899,113742.29363999999,114719.83598999999,119394.04237,137053.93614,131113.35152999999,127944.56265,139708.84122,132889.56446999998,128010.30862,111977.87963,112163.78908999999,144691.40667,174877.42859000002,173210.55994,171923.95725,172436.31536,171926.32343,169836.55683000002,168599.33342,164587.24908,160888.05748999998,127277.87551,125137.28864,123285.74174
72 прат банк фамільний,123.80027,123.80027,123.1336,121.55356,120.66598,120.66598,120.66598,118.77303,118.77303,118.77303,118.77303,118.77302999999999,118.77302999999999,117.02647999999999,117.02647999999999,116.72865999999999,115.04022,114.7424,114.7424,114.7424,114.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
